Site Location:,Legal Description:,,Map Number:,Municipality:,School District,Property Type:,Homestead Status - Next School Bill Cycle:,Homestead Status - Current School Bill Cycle:,Homestead %,Homestead Approved Year,Additional Info:,Veteran's Exemption:
2929 CARTER AVE,,50 X 130,07-07 -088:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2945 CARTER AVE,,75 X 122 IRR,07-07 -091:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2949 CARTER AVE,,50 X 115 X IRR,07-07 -093:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2951 CARTER AVE,,50 X 105,07-07 -094:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2953 CARTER AVE,,50 X 100,07-07 -095:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2955 CARTER AVE,,A31 X 85 X 60,07-07 -096:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
3001 CARTER AVE,,40 X 85 X IRR,07-07 -097:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2022,-,No
3003 CARTER AVE,,50 X 105,07-07 -098:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,BD - BOARD DECISION,No
3009 CARTER AVE,,50 X 105,07-07 -101:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
3013 CARTER AVE,,50 X 105,07-07 -103:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,BD - BOARD DECISION,No
2926 CARTER AVE,,50 X 105,07-07 -056:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2010,-,No
2932 CARTER AVE,,50 X 105,07-07 -057:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2938 CARTER AVE,,50 X 105,07-07 -058:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2007,-,No
2948 CARTER AVE,,50 X 105 X 70 X 105,07-07 -060:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2952 CARTER AVE,,50 X 105,07-07 -061:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2956 CARTER AVE,,50 X 105 X 105 X 61,07-07 -062:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2964 CARTER AVE,,"5,000SF",07-07 -064:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,03 - Exempt,No,No,,,-,No
3004 CARTER AVE,,50 X 105,07-07 -069:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
3016 CARTER AVE,,50 X 105,07-07 -075:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2020,-,No
3018 CARTER AVE,,50 X 105,07-07 -076:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
3020 CARTER AVE,,50 X 105,07-07 -077:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2414 BETHEL RD,,64 X 303 X IRR,07-07 -174:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2426 BETHEL RD,,60 X 109 IRR,07-07 -163:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
2432 BETHEL RD,,35 X 100 X IRR,07-07 -164:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2013,-,No
3144 BETHEL RD,,50 X 100,07-07 -115:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
3150 BETHEL RD,,70 X 100,07-07 -114:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
3160 BETHEL RD,,50 X 100,07-07 -112:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2013,-,No
2335 BETHEL RD,,20 X 103,07-08 -058:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,RE - REVALUATION,No
2337 BETHEL RD,,20 X 103,07-08 -057:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,RE - REVALUATION,No
2339 BETHEL RD,,20 X 103 X IRR,07-08 -056:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,RE - REVALUATION,No
2341 BETHEL RD,,20 X 103,07-08 -055:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2343 BETHEL RD,,20 X 103,07-08 -054:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2345 BETHEL RD,,20 X 103,07-08 -053:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2320 COLUMBIA ST,,60 X 100,07-10 -031:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2207 COLUMBIA ST,,40 X 100,07-10 -077:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2025,-,No
2319 COLUMBIA ST,,29 X 115,07-10 -034:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
2317 COLUMBIA ST,,30 X 100,07-10 -035:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2007,-,No
57 CONCORD RD,,49 X 159 X IRR,07-04 -017:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
59 CONCORD RD,,52 X 161,07-04 -015:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
60 CONCORD RD,,49.91 X 189.33 X IRR,07-04 -014:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1338 ENGLE ST,,60 X 91,07-08 -148:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2021,-,No
2113 FELTON AVE,,60 X 144 X IRR,07-07 -165:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2411 FELTON AVE,,60 X 120,07-07 -047:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2415 FELTON ST,,60 X 120,07-07 -046:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2434 GREEN ST,,40 X 120,07-07 -048:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2361 CONCORD RD,,80 X 184 IRR,07-08 -037:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2007,-,No
2363 CONCORD RD,,78 X 184 IRR,07-08 -036:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,065,2008,-,No
2411 GREEN ST,,60 X 220,07-07 -172:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
2407 GREEN ST,,50 X 100 X IRR VET 29,07-07 -143:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,03 - Exempt,No,No,,2025,D - CHANGE CLASS TO EXEMPT,Yes
2227 GREEN ST,,59 X 208 X 176 X 23,07-07 -142:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,BD - BOARD DECISION,No
2317 15 TH ST,,94.69 X 108.98 X IRR,07-08 -093:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
1226 PALMER ST,,45 X 40,07-08 -086:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1228 PALMER ST,,45 X 58 X IRR,07-08 -085:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
1230 PALMER ST,,80 X 110 X IRR,07-08 -084:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2007,-,No
2206 SHANNON ST,,40 X 100,07-08 -146:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,V - V,No
2212 SHANNON ST,,27 X 100 X IRR,07-08 -143:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1019 TOWNSEND ST,,40 X 100,07-10 -072:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1305 TOWNSEND ST,,42 X 90,07-08 -165:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1319 TOWNSEND ST,,40 X 90,07-08 -162:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1327 TOWNSEND ST,,40 X 90,07-08 -139:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
0 TOWNSEND ST,,40 X 90 2-HSES,07-08 -137:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
0 TOWNSEND ST,,40 X 90 2-HSES,07-08 -137:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1335 TOWNSEND ST,,24 X 90,07-08 -136:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2024,-,No
1337 TOWNSEND ST,,27 X 90,07-08 -135:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1339 TOWNSEND ST,,27 X 90,07-08 -134:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1407 TOWNSEND ST,,21 X 90,07-08 -111:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
1409 TOWNSEND ST,,21 X 90,07-08 -110:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,03 - Exempt,No,No,,,-,No
1411 TOWNSEND ST,,20 X 90,07-08 -109:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1413 TOWNSEND ST,,35 X 90,07-08 -108:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
1014 TOWNSEND ST,,20 X 100,07-10 -040:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,BD - BOARD DECISION,No
1030 TOWNSEND ST,,40 X 100,07-10 -027:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2021,-,No
1032 TOWNSEND ST,,40 X 100,07-10 -024:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,03 - Exempt,No,No,,,S - SUBDIVISION,No
1100 TOWNSEND ST,,40 X 90,07-10 -016:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2011,-,No
1106 TOWNSEND ST,,41 X 90,07-10 -015:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2007,-,No
1108 TOWNSEND ST,,40 X 90,07-10 -014:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1114 TOWNSEND ST,,40 X 90,07-10 -013:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
1128 TOWNSEND ST,,20 X 90,07-08 -206:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1312 TOWNSEND ST,,60 X 110,07-08 -157:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1400 TOWNSEND ST,,30 X 90,07-08 -106:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1408 TOWNSEND ST,,40 X 90,07-08 -104:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
1414 TOWNSEND ST,,40 X 90,07-08 -103:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2016,-,No
1524 TOWNSEND ST,,29 X 100,07-08 -066:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2025,-,No
2320 W 11TH ST,,40 X 80,07-10 -020:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2205 W 11TH ST,,22 X 80,07-10 -068:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2213 W 11TH ST,,40 X 100,07-10 -066:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
2325 W 11TH ST,,70 X 100 IRR,07-10 -021:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2200 W 14TH ST,,20 X 45 X IRR,07-08 -121:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2202 W 14TH ST,,19 X 95,07-08 -120:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2214 2218 W 14TH ST,,60 X 95,07-08 -119:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2214 2218 W 14TH ST,,60 X 95,07-08 -119:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2214 2218 W 14TH ST,,60 X 95,07-08 -119:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2220 W 14TH ST,,19 X 95,07-08 -118:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2308 W 14TH ST,,40 X 90,07-08 -101:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
0 W 14TH ST,,60 X 90,07-08 -100:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2215 W 15TH ST,,20 X 95,07-08 -115:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2217 W 15TH ST,,20 X 95,07-08 -114:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2301 W 15TH ST,,40 X 95,07-08 -097:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2313 -2315 W 15TH ST,,60 X 95,07-08 -094:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
53 CONCORD RD,,SPACE 1,07-07 -015:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
53 CONCORD RD,,12X46 SP#3 S&S TRL PK,07-07 -015:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,B - CONSTRUCTION,No
